2025-11-25 19:53:04,900 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:53:04,977 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 19:53:13,697 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:53:22,440 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:53:22,516 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 19:53:31,280 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:58:02,728 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:58:10,636 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:58:10,697 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 19:58:18,636 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:58:26,551 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
